#	xcoord	ycoord 
1	451	92
2	81	446
3	27	140
4	151	219
5	335	37
6	15	138
7	428	80
8	718	231
9	911	843
10	987	1068
11	522	229
12	536	555
13	458	131
14	566	291
15	296	26
16	29	251
17	500	112
18	69	108
19	588	559
20	111	459
21	517	186
22	1392	1177
23	1239	1056
24	2607	1249
25	626	586
26	1295	1135
27	420	311
28	471	112
29	717	759
30	163	42
31	540	141
32	541	153
33	857	1027
34	499	117
35	657	698
36	953	1036
37	590	134
38	450	389
39	356	46
40	101	114
41	482	543
42	22	127
43	46	190
44	613	170
45	409	181
46	580	184
47	567	306
48	70	97
49	463	581
50	177	21
51	607	140
52	356	200
53	602	208
54	466	116
55	0	372
56	603	291
57	296	26
58	418	69
59	462	179
60	645	592
61	132	177
62	61	85
63	646	614
64	615	266
65	563	155
66	1824	1209
67	635	125
68	204	26
69	1035	938
70	758	814
71	431	351
72	60	446
73	98	57
74	240	0
75	373	58
76	470	122
77	518	125
78	488	189
79	543	147
80	2472	1220
81	81	357
82	1865	1278
83	816	796
84	534	174
85	467	117
86	560	179
87	265	469
88	1037	1081
89	670	309
90	543	323
91	1150	1092
92	2095	1310
93	937	940
94	614	226
95	504	168
96	23	153
97	572	203
98	2501	1185
99	213	486
100	614	187
101	591	300
102	646	658
103	8	406
